entity,concepturi,ID,person
Jennifer Anne Doudna,http://www.wikidata.org/entity/Q56068,Q56068,Jennifer Doudna
American,http://www.wikidata.org/entity/Q846570,Q846570,Jennifer Doudna
Doudna,http://www.wikidata.org/entity/Q56068,Q56068,Jennifer Doudna
Nobel,http://www.wikidata.org/entity/Q7191,Q7191,Jennifer Doudna
Nobel Prize in Chemistry,http://www.wikidata.org/entity/Q44585,Q44585,Jennifer Doudna
Emmanuelle Charpentier,http://www.wikidata.org/entity/Q17280087,Q17280087,Jennifer Doudna
the Department of Chemistry,id-less,id-less,Jennifer Doudna
the Department of Molecular and Cell Biology,id-less,id-less,Jennifer Doudna
"the University of California,",http://www.wikidata.org/entity/Q13360899,Q13360899,Jennifer Doudna
Berkeley,http://www.wikidata.org/entity/Q168756,Q168756,Jennifer Doudna
the Howard Hughes Medical Institute,http://www.wikidata.org/entity/Q36437695,Q36437695,Jennifer Doudna
Pomona College,http://www.wikidata.org/entity/Q7227384,Q7227384,Jennifer Doudna
Ph.D.,http://www.wikidata.org/entity/Q752297,Q752297,Jennifer Doudna
Harvard Medical School,http://www.wikidata.org/entity/Q49121,Q49121,Jennifer Doudna
Berkeley,http://www.wikidata.org/entity/Q168756,Q168756,Jennifer Doudna
the Innovative Genomics Institute,id-less,id-less,Jennifer Doudna
Lawrence Berkeley National Laboratory,http://www.wikidata.org/entity/Q1133630,Q1133630,Jennifer Doudna
the Gladstone Institutes,id-less,id-less,Jennifer Doudna
"the University of California,",http://www.wikidata.org/entity/Q13360899,Q13360899,Jennifer Doudna
San Francisco,http://www.wikidata.org/entity/Q62,Q62,Jennifer Doudna
UCSF,http://www.wikidata.org/entity/Q1061104,Q1061104,Jennifer Doudna
Doudna,http://www.wikidata.org/entity/Q56068,Q56068,Jennifer Doudna
Emmanuelle Charpentier,http://www.wikidata.org/entity/Q17280087,Q17280087,Jennifer Doudna
CRISPR-Cas9,http://www.wikidata.org/entity/Q17310682,Q17310682,Jennifer Doudna
Doudna,http://www.wikidata.org/entity/Q56068,Q56068,Jennifer Doudna
Alan T. Waterman Award,http://www.wikidata.org/entity/Q3607779,Q3607779,Jennifer Doudna
Charpentier,http://www.wikidata.org/entity/Q17280087,Q17280087,Jennifer Doudna
the Gruber Prize in,id-less,id-less,Jennifer Doudna
the Tang Prize,id-less,id-less,Jennifer Doudna
the Canada Gairdner International Award,id-less,id-less,Jennifer Doudna
the Japan Prize,http://www.wikidata.org/entity/Q10927419,Q10927419,Jennifer Doudna
Rachel Louise Carson,http://www.wikidata.org/entity/Q100948,Q100948,Rachel Carson
American,http://www.wikidata.org/entity/Q846570,Q846570,Rachel Carson
Carson,http://www.wikidata.org/entity/Q494690,Q494690,Rachel Carson
the U.S. Bureau of Fisheries,id-less,id-less,Rachel Carson
U.S.,http://www.wikidata.org/entity/Q30,Q30,Rachel Carson
The Edge of the Sea,http://www.wikidata.org/entity/Q7731573,Q7731573,Rachel Carson
Carson,http://www.wikidata.org/entity/Q494690,Q494690,Rachel Carson
American,http://www.wikidata.org/entity/Q846570,Q846570,Rachel Carson
Silent Spring,http://www.wikidata.org/entity/Q591623,Q591623,Rachel Carson
DDT,http://www.wikidata.org/entity/Q163648,Q163648,Rachel Carson
the U.S. Environmental Protection Agency,http://www.wikidata.org/entity/Q24815159,Q24815159,Rachel Carson
Carson,http://www.wikidata.org/entity/Q494690,Q494690,Rachel Carson
the Presidential Medal of Freedom,id-less,id-less,Rachel Carson
Jimmy Carter,http://www.wikidata.org/entity/Q23685,Q23685,Rachel Carson
Rosalind Elsie Franklin,http://www.wikidata.org/entity/Q7474,Q7474,Rosalind Franklin
British,http://www.wikidata.org/entity/Q842438,Q842438,Rosalind Franklin
RNA,http://www.wikidata.org/entity/Q11053,Q11053,Rosalind Franklin
Sylvia Plath,http://www.wikidata.org/entity/Q133054,Q133054,Rosalind Franklin
Newnham College,http://www.wikidata.org/entity/Q1247589,Q1247589,Rosalind Franklin
Cambridge,http://www.wikidata.org/entity/Q35794,Q35794,Rosalind Franklin
PhD,http://www.wikidata.org/entity/Q752297,Q752297,Rosalind Franklin
Ronald George Wreyford Norrish,http://www.wikidata.org/entity/Q235834,Q235834,Rosalind Franklin
the 1920 Chair of Physical Chemistry,id-less,id-less,Rosalind Franklin
the University of Cambridge,http://www.wikidata.org/entity/Q28765395,Q28765395,Rosalind Franklin
Norrish,http://www.wikidata.org/entity/Q36988928,Q36988928,Rosalind Franklin
the British Coal Utilisation Research Association,http://www.wikidata.org/entity/Q59014700,Q59014700,Rosalind Franklin
BCURA,id-less,id-less,Rosalind Franklin
PhD,http://www.wikidata.org/entity/Q752297,Q752297,Rosalind Franklin
Cambridge,http://www.wikidata.org/entity/Q35794,Q35794,Rosalind Franklin
Paris,http://www.wikidata.org/entity/Q90,Q90,Rosalind Franklin
chercheur,http://www.wikidata.org/entity/Q55845988,Q55845988,Rosalind Franklin
Jacques Mering,http://www.wikidata.org/entity/Q17626853,Q17626853,Rosalind Franklin
Laboratoire Central des Services Chimiques de l'Ã‰tat,http://www.wikidata.org/entity/Q21704870,Q21704870,Rosalind Franklin
King's College London,http://www.wikidata.org/entity/Q245247,Q245247,Rosalind Franklin
John Randall,http://www.wikidata.org/entity/Q1645453,Q1645453,Rosalind Franklin
Maurice Wilkins,http://www.wikidata.org/entity/Q184659,Q184659,Rosalind Franklin
Birkbeck College,http://www.wikidata.org/entity/Q375606,Q375606,Rosalind Franklin
"Gertrude ""Trudy"" Belle Elion",id-less,id-less,Gertrude Elion
American,http://www.wikidata.org/entity/Q846570,Q846570,Gertrude Elion
Nobel Prize in Physiology or Medicine,http://www.wikidata.org/entity/Q80061,Q80061,Gertrude Elion
George H. Hitchings,http://www.wikidata.org/entity/Q310487,Q310487,Gertrude Elion
James Black,http://www.wikidata.org/entity/Q110974,Q110974,Gertrude Elion
Rita Levi-Montalcini,http://www.wikidata.org/entity/Q185007,Q185007,Rita Levi-Montalcini
Italian,http://www.wikidata.org/entity/Q652,Q652,Rita Levi-Montalcini
Nobel Prize in Physiology or Medicine,http://www.wikidata.org/entity/Q80061,Q80061,Rita Levi-Montalcini
Stanley Cohen,http://www.wikidata.org/entity/Q232299,Q232299,Rita Levi-Montalcini
Italian,http://www.wikidata.org/entity/Q652,Q652,Rita Levi-Montalcini
Nobel,http://www.wikidata.org/entity/Q7191,Q7191,Rita Levi-Montalcini
Rome,http://www.wikidata.org/entity/Q220,Q220,Rita Levi-Montalcini
